Ori,State,County,Unit,State_County,fstate,CNTYFIPS,agency,agentype,agency2,StateName2,MSA
AK00101,Alaska,001,01,AK001,Alaska,"Anchorage, AK",Anchorage,Municipal police,ANCHORAGE,ALASKA,"Anchorage, AK"
AK00102,Alaska,001,02,AK001,Alaska,"Fairbanks North Star, AK",Fairbanks,Municipal police,FAIRBANKS,ALASKA,"Fairbanks, AK"
AK00103,Alaska,001,03,AK001,Alaska,"Juneau, AK",Juneau,Municipal police,JUNEAU,ALASKA,Rural Alaska
AK00104,Alaska,001,04,AK001,Alaska,"Ketchikan Gateway, AK",Ketchikan,Municipal police,KETCHIKAN,ALASKA,Rural Alaska
AK00105,Alaska,001,05,AK001,Alaska,"Kodiak Island, AK",Kodiak,Municipal police,KODIAK,ALASKA,Rural Alaska
AK00106,Alaska,001,06,AK001,Alaska,"Nome, AK",Nome,Municipal police,NOME,ALASKA,Rural Alaska
AK00107,Alaska,001,07,AK001,Alaska,"Wrangell-Petersburg, AK",Petersburg,Municipal police,PETERSBURG,ALASKA,Rural Alaska
AK00108,Alaska,001,08,AK001,Alaska,"Kenai Peninsula, AK",Seward,Municipal police,SEWARD,ALASKA,Rural Alaska
AK00109,Alaska,001,09,AK001,Alaska,"Sitka, AK",Sitka,Municipal police,SITKA,ALASKA,Rural Alaska
AK00110,Alaska,001,10,AK001,Alaska,"Skagway-Hoonah-Angoon, AK",Skagway,Municipal police,SKAGWAY,ALASKA,Rural Alaska
AK00111,Alaska,001,11,AK001,Alaska,"Wrangell-Petersburg, AK",Wrangell,Municipal police,WRANGELL,ALASKA,Rural Alaska
AK00112,Alaska,001,12,AK001,Alaska,"Valdez-Cordova, AK",Valdez,Municipal police,VALDEZ,ALASKA,Rural Alaska
AK00113,Alaska,001,13,AK001,Alaska,"Bethel, AK",Bethel,Municipal police,BETHEL,ALASKA,Rural Alaska
AK00114,Alaska,001,14,AK001,Alaska,"Valdez-Cordova, AK",Cordova,Municipal police,CORDOVA,ALASKA,Rural Alaska
AK00116,Alaska,001,16,AK001,Alaska,"Northwest Arctic, AK",Kotzebue,Municipal police,KOTZEBUE,ALASKA,Rural Alaska
AK00117,Alaska,001,17,AK001,Alaska,"Matanuska-Susitna, AK",Palmer,Municipal police,PALMER,ALASKA,"Anchorage, AK"
AK00118,Alaska,001,18,AK001,Alaska,"North Slope, AK",North Slope Borough,County police,NORTH SLOPE BOROUGH,ALASKA,Rural Alaska
AK00119,Alaska,001,19,AK001,Alaska,"Kenai Peninsula, AK",Seldovia,Municipal police,SELDOVIA,ALASKA,Rural Alaska
AK00120,Alaska,001,20,AK001,Alaska,"Kenai Peninsula, AK",Soldotna,Municipal police,SOLDOTNA,ALASKA,Rural Alaska
AK00121,Alaska,001,21,AK001,Alaska,"Haines, AK",Haines,Municipal police,HAINES,ALASKA,Rural Alaska
AK00122,Alaska,001,22,AK001,Alaska,"Kenai Peninsula, AK",Homer,Municipal police,HOMER,ALASKA,Rural Alaska
AK00123,Alaska,001,23,AK001,Alaska,"Kenai Peninsula, AK",Kenai,Municipal police,KENAI,ALASKA,Rural Alaska
AK00124,Alaska,001,24,AK001,Alaska,"Anchorage, AK",Spenard Service District,Special police,SPENARD SERVICE DISTRICT,ALASKA,"Anchorage, AK"
AK00125,Alaska,001,25,AK001,Alaska,"Prince of Wales-Outer Ketchikan, AK",Metlakatla Tribal,Tribal,METLAKATLA TRIBAL,ALASKA,Rural Alaska
AK00126,Alaska,001,26,AK001,Alaska,"Fairbanks North Star, AK",Fairbanks Intrnl Airport,Special police,FAIRBANKS INTRNL AIRPORT,ALASKA,"Fairbanks, AK"
AK00127,Alaska,001,27,AK001,Alaska,"Anchorage, AK",Anchorage Intrntl Airpor,Special police,ANCHORAGE INTRNTL AIRPOR,ALASKA,"Anchorage, AK"
AK00128,Alaska,001,28,AK001,Alaska,"Valdez-Cordova, AK",Whittier,Municipal police,WHITTIER,ALASKA,Rural Alaska
AK00130,Alaska,001,30,AK001,Alaska,"Dillingham, AK",Dillingham,Municipal police,DILLINGHAM,ALASKA,Rural Alaska
AK00131,Alaska,001,31,AK001,Alaska,"Skagway-Hoonah-Angoon, AK",Hoonah,Municipal police,HOONAH,ALASKA,Rural Alaska
AK00132,Alaska,001,32,AK001,Alaska,"Fairbanks North Star, AK",North Pole,Municipal police,NORTH POLE,ALASKA,"Fairbanks, AK"
AK00133,Alaska,001,33,AK001,Alaska,"Aleutians West, AK",Unalaska,Municipal police,UNALASKA,ALASKA,Rural Alaska
AK00135,Alaska,001,35,AK001,Alaska,"Prince of Wales-Outer Ketchikan, AK",Klawock,Municipal police,KLAWOCK,ALASKA,Rural Alaska
AK00142,Alaska,001,42,AK001,Alaska,"Anchorage, AK",University of Alaska:  Fairbanks,Special police,UNIV OF AK: FAIRBANKS,ALASKA,"Anchorage, AK"
AK00143,Alaska,001,43,AK001,Alaska,"Anchorage, AK",Univ Of Ak: Anchorage,Special police,UNIV OF AK: ANCHORAGE,ALASKA,"Anchorage, AK"
AK00145,Alaska,001,45,AK001,Alaska,"Prince of Wales-Outer Ketchikan, AK",Craig,Municipal police,CRAIG,ALASKA,Rural Alaska
AK00146,Alaska,001,46,AK001,Alaska,"Bristol Bay, AK",Bristol Bay Borough,County police,BRISTOL BAY BOROUGH,ALASKA,Rural Alaska
AK00147,Alaska,001,47,AK001,Alaska,"Wrangell-Petersburg, AK",Kake,Municipal police,KAKE,ALASKA,Rural Alaska
AK00149,Alaska,001,49,AK001,Alaska,"Yukon-Koyukuk, AK",Nenana,Municipal police,NENANA,ALASKA,Rural Alaska
AK00150,Alaska,001,50,AK001,Alaska,"Aleutians West, AK",St. Paul,Municipal police,ST. PAUL,ALASKA,Rural Alaska
AK00152,Alaska,001,52,AK001,Alaska,"Aleutians East, AK",Sand Point,Municipal police,SAND POINT,ALASKA,Rural Alaska
AK00154,Alaska,001,54,AK001,Alaska,"Dillingham, AK",Togiak,Municipal police,TOGIAK,ALASKA,Rural Alaska
AK00156,Alaska,001,56,AK001,Alaska,"Matanuska-Susitna, AK",Wasilla,Municipal police,WASILLA,ALASKA,"Anchorage, AK"
AK00163,Alaska,001,63,AK001,Alaska,"Yukon-Koyukuk, AK",Anvik,Municipal police,ANVIK,ALASKA,Rural Alaska
AK00164,Alaska,001,64,AK001,Alaska,"Wade Hampton, AK",Emmonak,Municipal police,EMMONAK,ALASKA,Rural Alaska
AK00166,Alaska,001,66,AK001,Alaska,"Matanuska-Susitna, AK",Houston,Municipal police,HOUSTON,ALASKA,"Anchorage, AK"
AK02004,Alaska,020,04,AK020,Alaska,"Juneau, AK",Alcohol Bev Control Brd,Special police,ALCOHOL BEV CONTROL BRD,ALASKA,Rural Alaska
AKASP00,Alaska,ASP,00,AKASP,Alaska,"Juneau, AK",State Troopers,Primary state LE,STATE TROOPERS,ALASKA,Rural Alaska
AKAST01,Alaska,001,01,AK0-1,Alaska,"Anchorage, AK",Alaska State Troopers,Primary state LE,ALASKA STATE TROOPERS,ALASKA,"Anchorage, AK"
AL00100,Alabama,001,00,AL001,Alabama,"Jefferson, AL",Jefferson County,Sheriff,JEFFERSON,ALA,"Birmingham-Hoover, AL"
AL00101,Alabama,001,01,AL001,Alabama,"Jefferson, AL",Bessemer,Municipal police,BESSEMER,ALA,"Birmingham-Hoover, AL"
AL00102,Alabama,001,02,AL001,Alabama,"Jefferson, AL",Birmingham,Municipal police,BIRMINGHAM,ALA,"Birmingham-Hoover, AL"
AL00103,Alabama,001,03,AL001,Alabama,"Jefferson, AL",Mountain Brook,Municipal police,MOUNTAIN BROOK,ALA,"Birmingham-Hoover, AL"
AL00104,Alabama,001,04,AL001,Alabama,"Jefferson, AL",Fairfield,Municipal police,FAIRFIELD,ALA,"Birmingham-Hoover, AL"
AL00105,Alabama,001,05,AL001,Alabama,"Jefferson, AL",Gardendale,Municipal police,GARDENDALE,ALA,"Birmingham-Hoover, AL"
AL00106,Alabama,001,06,AL001,Alabama,"Jefferson, AL",Leeds,Municipal police,LEEDS,ALA,"Birmingham-Hoover, AL"
AL00107,Alabama,001,07,AL001,Alabama,"Jefferson, AL",Midfield,Municipal police,MIDFIELD,ALA,"Birmingham-Hoover, AL"
AL00108,Alabama,001,08,AL001,Alabama,"Jefferson, AL",Tarrant City,Municipal police,TARRANT,ALA,"Birmingham-Hoover, AL"
AL00109,Alabama,001,09,AL001,Alabama,"Jefferson, AL",Vestavia Hills,Municipal police,VESTAVIA HILLS,ALA,"Birmingham-Hoover, AL"
AL00110,Alabama,001,10,AL001,Alabama,"Jefferson, AL",Homewood,Municipal police,HOMEWOOD,ALA,"Birmingham-Hoover, AL"
AL00111,Alabama,001,11,AL001,Alabama,"Jefferson, AL",Fultondale,Municipal police,FULTONDALE,ALA,"Birmingham-Hoover, AL"
AL00112,Alabama,001,12,AL001,Alabama,"Jefferson, AL",Hoover,Municipal police,HOOVER,ALA,"Birmingham-Hoover, AL"
AL00113,Alabama,001,13,AL001,Alabama,"Jefferson, AL",Irondale,Municipal police,IRONDALE,ALA,"Birmingham-Hoover, AL"
AL00114,Alabama,001,14,AL001,Alabama,"Jefferson, AL",Pleasant Grove,Municipal police,PLEASANT GROVE,ALA,"Birmingham-Hoover, AL"
AL00115,Alabama,001,15,AL001,Alabama,"Jefferson, AL",Roosevelt City,Municipal police,ROOSEVELT CITY,ALA,"Birmingham-Hoover, AL"
AL00116,Alabama,001,16,AL001,Alabama,"Jefferson, AL",Graysville,Municipal police,GRAYSVILLE,ALA,"Birmingham-Hoover, AL"
AL00117,Alabama,001,17,AL001,Alabama,"Jefferson, AL",Brownsville,Municipal police,BROWNSVILLE,ALA,"Birmingham-Hoover, AL"
AL00118,Alabama,001,18,AL001,Alabama,"Jefferson, AL",Brighton,Municipal police,BRIGHTON,ALA,"Birmingham-Hoover, AL"
AL00119,Alabama,001,19,AL001,Alabama,"Jefferson, AL",Hueytown,Municipal police,HUEYTOWN,ALA,"Birmingham-Hoover, AL"
AL00120,Alabama,001,20,AL001,Alabama,"Jefferson, AL",Lipscomb,Municipal police,LIPSCOMB,ALA,"Birmingham-Hoover, AL"
AL00121,Alabama,001,21,AL001,Alabama,"Jefferson, AL",Trussville,Municipal police,TRUSSVILLE,ALA,"Birmingham-Hoover, AL"
AL00122,Alabama,001,22,AL001,Alabama,"Jefferson, AL",Adamsville,Municipal police,ADAMSVILLE,ALA,"Birmingham-Hoover, AL"
AL00123,Alabama,001,23,AL001,Alabama,"Jefferson, AL",Warrior,Municipal police,WARRIOR,ALA,"Birmingham-Hoover, AL"
AL00124,Alabama,001,24,AL001,Alabama,"Jefferson, AL",Univ Of Al: Birmingham,Special police,UNIV OF AL: BIRMINGHAM,ALA,"Birmingham-Hoover, AL"
